0	-1.29E+06
2.50E-01	-2.39E+06
0.5	-1.97E+06
7.50E-01	-1.45E+06
1	-8.62E+05
1.25	-2.77E+05
1.5	2.79E+05
1.75	6.84E+05
2	9.25E+05
2.25	1.07E+06
2.5	1.14E+06
2.75	1.11E+06
3	9.92E+05
3.25	8.31E+05
3.5	6.70E+05
3.75	5.23E+05
4	3.89E+05
4.25	2.68E+05
4.5	1.68E+05
4.75	98244
5	56642
5.25	34112
5.5	20046
5.75	8986.5
6	1606.7
6.25	-939.01
6.5	-1266.4
6.75	-4075.1
7	-11714
7.25	-22425
7.5	-32811
7.75	-41267
8	-48367
8.25	-55142
8.5	-61545
8.75	-66491
9	-68895
9.25	-68813
9.5	-67182
9.75	-64881
10	-62104
10.25	-58655
10.5	-54498
10.75	-49973
11	-45452
11.25	-41132
11.5	-37037
11.75	-33118
12	-29308
12.25	-25629
12.5	-22136
12.75	-18882
13	-15859
13.25	-13042
13.5	-10400
13.75	-7944.6
14	-5691.6
14.25	-3678.4
14.5	-1914.5
14.75	-369.75
15	999.63
15.25	2181.7
15.5	3151.3
15.75	3909.9
16	4506.3
16.25	4977.3
16.5	5330.7
16.75	5550.1
17	5651.3
17.25	5664.4
17.5	5624.2
17.75	5536.8
18	5393.9
18.25	5187.3
18.5	4945.1
18.75	4697.4
19	4451
19.25	4181.5
19.5	3881.1
19.75	3571
20	3288.2
20.25	3034.5
20.5	2788
20.75	2526.8
21	2261.4
21.25	2015.3
21.5	1808.1
21.75	1626.2
22	1446.9
22.25	1259.9
22.5	1083.9
22.75	936.31
23	817.35
23.25	704.87
23.5	587.66
23.75	471.74
