0	1.69E+07
2.50E-01	3.28E+07
0.5	3.01E+07
7.50E-01	2.61E+07
1	2.10E+07
1.25	1.53E+07
1.5	9.37E+06
1.75	3.70E+06
2	-1.37E+06
2.25	-5.71E+06
2.5	-9.22E+06
2.75	-1.18E+07
3	-1.36E+07
3.25	-1.45E+07
3.5	-1.48E+07
3.75	-1.46E+07
4	-1.40E+07
4.25	-1.31E+07
4.5	-1.21E+07
4.75	-1.10E+07
5	-9.86E+06
5.25	-8.77E+06
5.5	-7.73E+06
5.75	-6.75E+06
6	-5.81E+06
6.25	-4.93E+06
6.5	-4.11E+06
6.75	-3.33E+06
7	-2.60E+06
7.25	-1.91E+06
7.5	-1.26E+06
7.75	-6.50E+05
8	-95000
8.25	4.04E+05
8.5	8.43E+05
8.75	1.22E+06
9	1.55E+06
9.25	1.82E+06
9.5	2.03E+06
9.75	2.19E+06
10	2.30E+06
10.25	2.36E+06
10.5	2.38E+06
10.75	2.36E+06
11	2.32E+06
11.25	2.25E+06
11.5	2.16E+06
11.75	2.05E+06
12	1.93E+06
12.25	1.80E+06
12.5	1.66E+06
12.75	1.51E+06
13	1.37E+06
13.25	1.23E+06
13.5	1.09E+06
13.75	9.48E+05
14	8.16E+05
14.25	6.90E+05
14.5	5.71E+05
14.75	4.61E+05
15	3.59E+05
15.25	2.66E+05
15.5	1.81E+05
15.75	1.06E+05
16	38886
16.25	-19569
16.5	-70024
16.75	-1.13E+05
17	-1.49E+05
17.25	-1.78E+05
17.5	-2.01E+05
17.75	-2.18E+05
18	-2.31E+05
18.25	-2.39E+05
18.5	-2.43E+05
18.75	-2.44E+05
19	-2.42E+05
19.25	-2.37E+05
19.5	-2.30E+05
19.75	-2.22E+05
20	-2.12E+05
20.25	-2.02E+05
20.5	-1.90E+05
20.75	-1.78E+05
21	-1.66E+05
21.25	-1.54E+05
21.5	-1.42E+05
21.75	-1.30E+05
22	-1.19E+05
22.25	-1.08E+05
22.5	-97170
22.75	-87117
23	-77643
23.25	-68761
23.5	-60535
23.75	-52934
24	-45965
24.25	-39567
24.5	-33759
24.75	-28501
25	-23805
